卡,kaa1,kaa3,kaa4,kaa6,kaak1,kaat1,kik1
卦,gwaa3
卧,ngo6
卯,maau5
印,jan3,ngan3
危,ngai2,ngai4
即,ze1,zek1,zik1
卵,leon2
卷,gyun2
卸,se3
卻,koek3
卼,ngat6
卿,hing1
厄,aak1,ak1
厘,lai4,lei1,lei2,lei4
厚,hau5,hau6
原,jyun4
厥,kyut3
厭,jim1,jim3
厲,lai2,lai6,lei6
厴,jim2
去,heoi2,heoi3
厾,duk1
叁,saam1
參,caam1,cam1,sam1
又,jau6
叉,caa1
及,gap6,kap6
友,jau2,jau5
反,faan2,faan6
叔,suk1
取,ceoi2
受,sau3,sau6
叛,bun6
叟,sau2
叠,daap6,dep6,dip6
叢,cung4
口,hau1,hau2,hau4
古,gu1,gu2,gu4
句,geoi3,ngau1
另,ling6
叨,dou1,tou1
叩,kau3
只,zi2
叫,giu3,kiu3
召,ziu6
叭,baa1,baa2,baa4,paa1
叮,deng1,ding1,ding4
可,haak1,hak1,ho2,ho4,ho5,ko1
台,toi2,toi4
叱,cik1,cik4
史,si2
右,jau2,jau6
叵,bo1,po2
叶,hip6,jip6
司,si1,si2
叻,lak3,lek1,lik1
叼,diu1
叾,duk1
吃,gat6,hek3
各,gok3
合,gaap3,gap3,hap6,ho4
吉,gat1,git6
吊,diu3,tiu2,tiu4
吋,cyun3
同,tung4,tung5
名,meng2,ming4
后,hau6
吏,lei6
吐,dat6,tou2,tou3,tu1
向,hoeng3
吒,caak1,zaa1
吓,haa2,haa5
吔,jaa1,jaa2,jaa3,jaa4,jaa5,jaa6,jaak3
吖,aa1,ngaa1
君,gwan1
吝,leon6
吞,tan1
吟,am4,jam4,ngam4
吠,fai6
吡,bei2
否,fau2,pei2
吧,baa1,baa2,baa4,baa6
吩,fan1
含,ham2,ham4,ham6
吮,syun2,syun5
吱,zi1,zi4
吳,ng4
吵,caau2
吶,naap6,nap6
吸,kap1
吹,ceoi1,ceoi3
吻,man5
吼,haau1,hau1,hau4
吽,hung1,ngau6
吾,ng4
呀,aa3,aa4,aa5,aa6,jaa3,jaa4,jaak3,ngaa1
呂,leoi5
呃,aak1,aak3,ngaak1
呆,daai1,ngoi4
呈,cing4
告,gou3,guk1
呍,wan6
呎,cek3
呐,naap3
呔,taai1,taai5
呠,but1,but4
呢,le1,le2,le4,li1,ne1,nei1,ni1
呤,ling1,ling2,ling3,ling4
呥,jam1
周,zau1
呯,baang4,beng4
呱,gwaa1,gwe1,gwek2,gwek4
味,mei2,mei6
呵,ho1
呷,haap3
呸,pei1
呻,san1,san3
呼,fu1
命,meng6,ming6
咀,zeoi2
咁,gam1,gam2,gam3,gam4
咄,cyut3,dat1
咆,paau4
咇,bi1,bip1,bit1
咋,za6,zaa1,zaa2,zaa3,zaa4,zaa5,zaa6
和,wo4,wo6
咎,gau3
咐,fu3,fu6
咑,daa2,daak1,daak6
咒,zau3
咓,aa5
咔,kaa4
咕,bu4,gu1,gu2,gu4,ku1
咖,gaa3
咗,zo1,zo2
咚,dung1
咤,caak1,caak4,caat4
咦,ji1,ji2,ji4,ji6,ngi1,ngi4
咧,le4,le5,lit1
咨,zi1
咩,me1
咪,mai1,mai5,mai6,mei1,mi1,mi4
咫,zi2
咬,ngaau5
咭,kaa1,kaat1
咯,gok1,gok2,gok3,gok4,gok6,lo3,lok1,lok3
咱,zaa1
咳,kak1,kat1
咸,haam4,ham4
咹,on1
咻,hiu1
咽,jin1
咿,ji1,ji2,ji4,ngi1,ngi4
哀,oi1
品,ban2
哄,hung3,hung6
哆,doe1
哇,waa1
哈,haa1
哉,zoi1
哋,dei2,dei6,di4
响,hoeng2
哎,aai1,ai1
哏,gang2
哚,doe1,doe4
員,jyun4
哣,dau6
哥,go1,go4
哦,ngo4,o2,o3,o4,o5,o6
哨,saau3,saau4,saau6
哩,le1,le5,lei1,lei2,lei5,li1,li4
哪,naa4,naa5
哬,hoe4
哭,huk1
哮,haau1
哲,zit3
哺,bou6
